country,iso2c,iso3c,year,inflation,gdp_growth,gdp_per_capita
Brazil,BR,BRA,1980,NA,9.19999999999976,6472.85214591952
Brazil,BR,BRA,1981,101.725072957927,-4.24999999999956,6055.09781428103
Brazil,BR,BRA,1982,100.54335919485,0.829999999999529,5967.77899586532
Brazil,BR,BRA,1983,135.027682230473,-2.92999999999996,5664.96368501244
Brazil,BR,BRA,1984,192.121733132051,5.39999999999988,5841.74986464143
Brazil,BR,BRA,1985,225.989665211895,7.85000000000042,6167.51343658643
Brazil,BR,BRA,1986,147.142826237604,7.48999999999982,6494.28087914562
Brazil,BR,BRA,1987,228.336162575513,3.52999999999983,6591.60882870649
Brazil,BR,BRA,1988,629.114509120897,-0.059999999999917,6463.00545238554
Brazil,BR,BRA,1989,1430.7237251472,3.16000000000032,6545.42575572846
Brazil,BR,BRA,1990,2947.732772483,-4.35000000000022,6149.86788926381
Brazil,BR,BRA,1991,432.786661926461,1.03218958549303,6107.64883675747
Brazil,BR,BRA,1992,951.962053052818,-0.54407204977727,5973.98285622586
Brazil,BR,BRA,1993,1927.38079016026,4.9246900037071,6167.46092178931
Brazil,BR,BRA,1994,2075.88839757325,5.85287036219013,6427.16901943704
Brazil,BR,BRA,1995,66.0070335542481,4.22379363350413,6596.33572674819
Brazil,BR,BRA,1996,15.7576656002606,2.20886405039022,6640.7270065575
Brazil,BR,BRA,1997,6.92671251629154,3.39484598630671,6764.85842091319
Brazil,BR,BRA,1998,3.19507629280052,0.338097901207306,6687.49523550242
Brazil,BR,BRA,1999,4.85844749902667,0.467937566477133,6621.63676249539
Brazil,BR,BRA,2000,7.04414105947266,4.38794944745618,6817.784240857
Brazil,BR,BRA,2001,6.84035902487523,1.38989640095637,6823.03396999891
Brazil,BR,BRA,2002,8.45016437708331,3.05346185909312,6944.62337495755
Brazil,BR,BRA,2003,14.7149197228147,1.14082899824888,6941.4404574508
Brazil,BR,BRA,2004,6.59718509985963,5.75996463670954,7258.78185165912
Brazil,BR,BRA,2005,6.86953720898964,3.20213206130431,7409.56913232718
Brazil,BR,BRA,2006,4.18356812896909,3.96198871122617,7622.04007133264
Brazil,BR,BRA,2007,3.64127299102652,6.06987060678338,8003.25413096047
Brazil,BR,BRA,2008,5.67859390284168,5.09419544658736,8330.76459841304
Brazil,BR,BRA,2009,4.88803479876799,-0.125812002161169,8246.09706995094
Brazil,BR,BRA,2010,5.03872690108075,7.52822581815364,8792.63436120342
Brazil,BR,BRA,2011,6.6364496221309,3.97442307944702,9067.99316348047
Brazil,BR,BRA,2012,5.40349914036997,1.92117598576537,9167.49923929815
Brazil,BR,BRA,2013,6.20431066640101,3.00482266944432,9366.73932434359
Brazil,BR,BRA,2014,6.32904015516139,0.503955740242247,9338.34278278114
Brazil,BR,BRA,2015,9.02990102416136,-3.54576339269425,8936.19661712113
Brazil,BR,BRA,2016,8.73914352329393,-3.27591690782192,8577.84376650911
Brazil,BR,BRA,2017,3.44637335032669,1.32286905404399,8628.25308908043
Brazil,BR,BRA,2018,3.66485028376729,1.783666761634,8722.33630317935
Brazil,BR,BRA,2019,3.73297621216894,1.22077782360842,8771.44051292177
Brazil,BR,BRA,2020,3.21176803803376,-3.2767587964736,8435.01143254978
Brazil,BR,BRA,2021,8.30165975585673,4.76260437908608,8799.22945810901
Brazil,BR,BRA,2022,9.28010608956873,3.01669435393015,9032.08481566299
Brazil,BR,BRA,2023,4.59356282283204,3.24165532906981,9288.02701470069
Brazil,BR,BRA,2024,4.36746407652337,3.41931516501906,9566.74518687619
Chile,CL,CHL,1980,35.1383405330485,8.17228334347537,4627.19349061049
Chile,CL,CHL,1981,19.6868327084319,6.71863895635887,4866.12669776366
